Model_ID,Model,Inference_Memory_Usage,Peak_Memory_During_Inference,Predictor_Size,Learner_Size,Models_Size,Total_Size
XT_0,ExtraTrees_c1,10371072,6368133,387,7710,5584679,5592776
XT_1,ExtraTrees_r1,1441792,1736997,456,7710,807912,816078
XT_2,ExtraTrees_r2,2097152,2544735,454,7710,1681104,1689268
XT_3,ExtraTrees_r3,2756608,3070161,454,7710,2306625,2314789
XT_4,ExtraTrees_r4,1331200,1528403,456,7722,435350,443528
XT_5,ExtraTrees_r5,4247552,4386780,454,7710,3598138,3606302
XT_6,ExtraTrees_r6,1310720,1586877,454,7710,666714,674878
XT_7,ExtraTrees_r7,917504,949246,454,7722,149210,157386
XT_8,ExtraTrees_r8,2359296,2544793,454,7710,1681104,1689268
XT_9,ExtraTrees_r9,1310720,1586877,454,7710,666714,674878
XT_10,ExtraTrees_r10,786432,950748,455,7722,149214,157391
XT_11,ExtraTrees_r11,2228224,2546237,455,7710,1681108,1689273
XT_12,ExtraTrees_r12,1069056,1186672,457,7710,249332,257499
XT_13,ExtraTrees_r13,6029312,6369631,455,7722,5584803,5592980
XT_14,ExtraTrees_r14,786432,1167530,457,7710,243074,251241
XT_15,ExtraTrees_r15,3014656,3264051,457,7722,2475836,2484015
XT_16,ExtraTrees_r16,4194304,4392610,457,7710,3621218,3629385
XT_17,ExtraTrees_r17,1310720,1738383,457,7710,807916,816083
XT_18,ExtraTrees_r18,4063232,4388230,455,7722,3598166,3606343
XT_19,ExtraTrees_r19,5767168,3859037,457,7710,3064995,3073162
XT_20,ExtraTrees_r20,2228224,2546121,455,7710,1681108,1689273
XT_21,ExtraTrees_r21,3014656,3264109,457,7722,2475836,2484015
XT_22,ExtraTrees_r22,2490368,2526375,457,7710,1561775,1569942
XT_23,ExtraTrees_r23,-16502784,1512528,457,7710,425860,434027
XT_24,ExtraTrees_r24,2367488,2527657,457,7722,1573159,1581338
XT_25,ExtraTrees_r25,2097152,2526375,457,7710,1561775,1569942
XT_26,ExtraTrees_r26,-110592,2336335,455,7722,1318047,1326224
XT_27,ExtraTrees_r27,917504,1186788,457,7710,249332,257499
