Model,Memory used (bytes),Predictor size (bytes),Learner size (bytes),Models size (bytes),Total deployment size (bytes)
XT_0,12975661,387,6652,1470144,1477183
XT_1,502808,456,6652,256731,263839
XT_2,176462,454,6652,477329,484435
XT_3,178483,454,6652,636336,643442
XT_4,148338,456,6652,168785,175893
XT_5,150114,454,6652,963937,971043
XT_6,122280,454,6652,217759,224865
XT_7,140671,454,6652,124100,131206
XT_8,131218,454,6652,477329,484435
XT_9,139303,454,6652,217759,224865
XT_10,136093,455,6652,124104,131211
XT_11,130713,455,6652,477333,484440
XT_12,137025,457,6652,126220,133329
XT_13,139643,455,6652,1470244,1477351
XT_14,128131,457,6652,126220,133329
XT_15,132836,457,6652,699621,706730
XT_16,144286,457,6652,1089275,1096384
XT_17,115166,457,6652,256735,263844
XT_18,128200,455,6652,963941,971048
XT_19,121669,457,6652,902208,909317
XT_20,137882,455,6652,477333,484440
XT_21,124871,457,6652,699621,706730
XT_22,138216,457,6652,444233,451342
XT_23,140228,457,6652,164789,171898
XT_24,137735,457,6652,451943,459052
XT_25,131352,457,6652,444233,451342
XT_26,127659,455,6652,392095,399202
XT_27,128199,457,6652,126220,133329
XT_28,131531,455,6652,477333,484440
XT_29,134976,455,6652,217763,224870
XT_30,117377,455,6652,392095,399202
XT_31,135187,457,6652,527242,534351
XT_32,131121,457,6652,1274742,1281851
XT_33,564945,455,6652,636340,643447
XT_34,161587,457,6652,126220,133329
XT_35,160718,457,6652,699621,706730
XT_36,149030,457,6652,540941,548050
XT_37,151428,457,6652,527242,534351
XT_38,140002,457,6652,696741,703850
XT_39,141915,457,6652,936137,943246
XT_40,124132,457,6652,168789,175898
XT_41,136720,457,6652,699621,706730
XT_42,132803,457,6652,1174724,1181833
XT_43,129910,455,6652,477333,484440
XT_44,135736,457,6652,126220,133329
XT_45,139063,455,6652,636340,643447
XT_46,134445,457,6652,699621,706730
XT_47,131330,457,6652,126220,133329
XT_48,138978,457,6652,699621,706730
XT_49,126807,455,6652,1470244,1477351
XT_50,126494,457,6652,168789,175898
XT_51,130917,455,6652,124104,131211
XT_52,137363,455,6652,217763,224870
XT_53,120222,455,6652,146833,153940
XT_54,139816,457,6652,126220,133329
XT_55,137538,455,6652,146833,153940
XT_56,135874,455,6652,636340,643447
XT_57,128484,455,6652,146833,153940
XT_58,130408,455,6652,124104,131211
XT_59,133667,455,6652,636340,643447
XT_60,129701,457,6652,164789,171898
XT_61,126885,457,6652,249514,256623
XT_62,123539,457,6652,126220,133329
XT_63,126937,457,6652,168789,175898
XT_64,128359,457,6652,126220,133329
XT_65,132438,457,6652,126220,133329
XT_66,130615,457,6652,444233,451342
XT_67,131631,457,6652,126220,133329
XT_68,130780,455,6652,124104,131211
XT_69,566146,457,6652,699621,706730
XT_70,165112,457,6652,126220,133329
XT_71,158402,455,6652,636340,643447
XT_72,150319,455,6652,217763,224870
XT_73,143581,455,6652,392095,399202
XT_74,143237,455,6652,217763,224870
XT_75,140610,455,6652,124104,131211
XT_76,131776,455,6652,477333,484440
XT_77,135324,455,6652,124104,131211
XT_78,127781,457,6652,1089275,1096384
XT_79,129285,455,6652,124104,131211
XT_80,122505,457,6652,696741,703850
XT_81,135850,455,6652,963941,971048
XT_82,134116,457,6652,696741,703850
XT_83,132666,457,6652,256735,263844
XT_84,129260,457,6652,240340,247449
XT_85,134169,457,6652,936137,943246
XT_86,131129,457,6652,527242,534351
XT_87,129070,455,6652,217763,224870
XT_88,129644,455,6652,636340,643447
XT_89,122799,455,6652,963941,971048
XT_90,128246,455,6652,146833,153940
XT_91,126394,455,6652,392095,399202
XT_92,129785,455,6652,477333,484440
XT_93,118908,457,6652,126220,133329
XT_94,126198,455,6652,124104,131211
XT_95,128050,457,6652,423551,430660
XT_96,125782,455,6652,392095,399202
XT_97,125923,455,6652,146833,153940
XT_98,122816,457,6652,696741,703850
XT_99,127472,457,6652,550429,557538
XT_100,119217,456,6652,217767,224875
XT_101,121124,456,6652,217767,224875
XT_102,115046,458,6652,126224,133334
XT_103,123861,458,6652,451947,459057
XT_104,124061,456,6652,477337,484445
XT_105,569003,458,6652,699625,706735
XT_106,171646,458,6652,126224,133334
XT_107,155662,458,6652,126224,133334
XT_108,149255,456,6652,217767,224875
